dataset_role,event_id,budget_b,lateral_proposal_parity,transition_proposal_parity,pair_pool_order_parity,proxy_tuple_parity,selected_top12_config_parity,candidate_digest_parity,validator_verdict_parity,hard_usable_result_parity,final_selection_parity,all_parity,native_laterals,native_transitions,native_pair_proxies,native_reconstructions,native_validator_calls
VALIDATION_SEEN_AFTER_V1,VUE019,96,1,1,1,1,1,1,1,1,1,1,48,7,96,12,11
VALIDATION_SEEN_AFTER_V1,VUE019,128,1,1,1,1,1,1,1,1,1,1,64,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE020,64,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
VALIDATION_SEEN_AFTER_V1,VUE020,96,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
VALIDATION_SEEN_AFTER_V1,VUE020,128,1,1,1,1,1,1,1,1,1,1,30,2,58,12,10
VALIDATION_SEEN_AFTER_V1,VUE021,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,11
VALIDATION_SEEN_AFTER_V1,VUE021,96,1,1,1,1,1,1,1,1,1,1,48,7,96,12,11
VALIDATION_SEEN_AFTER_V1,VUE021,128,1,1,1,1,1,1,1,1,1,1,64,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE022,64,1,1,1,1,1,1,1,1,1,1,32,5,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE022,96,1,1,1,1,1,1,1,1,1,1,32,5,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE022,128,1,1,1,1,1,1,1,1,1,1,32,5,128,12,10
VALIDATION_SEEN_AFTER_V1,VUE023,64,1,1,1,1,1,1,1,1,1,1,30,2,58,12,6
VALIDATION_SEEN_AFTER_V1,VUE023,96,1,1,1,1,1,1,1,1,1,1,30,2,58,12,6
VALIDATION_SEEN_AFTER_V1,VUE023,128,1,1,1,1,1,1,1,1,1,1,30,2,58,12,6
VALIDATION_SEEN_AFTER_V1,VUE024,64,1,1,1,1,1,1,1,1,1,1,30,2,58,12,11
VALIDATION_SEEN_AFTER_V1,VUE024,96,1,1,1,1,1,1,1,1,1,1,30,2,58,12,11
VALIDATION_SEEN_AFTER_V1,VUE024,128,1,1,1,1,1,1,1,1,1,1,30,2,58,12,11
VALIDATION_SEEN_AFTER_V1,VUE025,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE025,96,1,1,1,1,1,1,1,1,1,1,48,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE025,128,1,1,1,1,1,1,1,1,1,1,64,7,128,12,10
VALIDATION_SEEN_AFTER_V1,VUE026,64,1,1,1,1,1,1,1,1,1,1,28,6,64,12,10
